"Word","Length","SUBTLWF","POS"
"performed","9","7.31","VB"
"performing","10","6.37","VB|NN"
"perfume","7","11.43","NN"
"perhaps","7","136.06","RB"
"perimeter","9","9.04","NN"
"period","6","27.78","NN"
"permanent","9","12.14","JJ|NN"
"permission","10","31.12","NN"
"permit","6","12.10","NN"
"personal","8","91.67","JJ|NN"
"personally","10","36.67","RB"
"personnel","9","16.37","NN"
"persons","7","7.73","NN"
"persuade","8","6.39","VB"
"pervert","7","6.90","NN"
"Philip","6","12.53","NN"
"philosophy","10","8.27","NN"
"parole","6","10.45","NN|VB"
"particular","10","27.90","JJ|NN|RB"
"partner","7","75.22","NN|VB"
"partners","8","24.16","NN|VB"
"passion","7","19.76","NN"
"passage","7","7.65","NN"
"passenger","9","10.76","NN"
"passengers","10","12.29","NN"
"passionate","10","6.00","JJ"
"passport","8","10.47","NN"
"password","8","7.98","NN"
"pathetic","8","24.20","JJ"
"patience","8","15.37","NN"
"patient","7","63.65","JJ"
"patients","8","29.63","NN"
"Patrick","7","14.49","NN"
"patrol","6","15.53","NN|VB"
"payment","7","10.55","NN"
"payroll","7","5.04","NN"
"peaceful","8","11.24","JJ"
"peacock","7","5.12","NN"
"peanut","6","12.35","NN"
"peanuts","7","7.55","NN"
"peculiar","8","7.55","JJ"
"Pedro","5","6.69","NN"
"penalty","7","9.10","NN"
"overtime","8","6.24","NN"
"oxygen","6","13.88","NN|JJ"
"pacific","7","9.67","NN|JJ"
"package","7","22.78","NN"
"painful","7","15.16","JJ|NN"
"paintings","9","11.27","NN"
"pajamas","7","5.82","NN"
"panicked","8","5.14","VB"
"paperwork","9","10.41","NN"
"paradise","8","13.25","NN"
"paranoid","8","10.65","JJ"
"Orleans","7","10.76","NN"
"orphan","6","5.75","NN|VB"
"orphanage","9","5.35","NN"
"Oscar","5","17.80","NN"
"otherwise","9","41.55","RB|JJ|NN"
"ourselves","9","52.47","minor|NN"
"outfit","6","25.10","NN"
"outrageous","10","6.33","JJ"
"outside","7","170.02","minor|NN|JJ|RB"
"overboard","9","5.08","RB|NN"
"overcome","8","6.20","VB"
"overnight","9","10.02","JJ|RB"
"override","8","5.16","VB"
"occurred","8","14.45","VB"
"October","7","9.92","NN"
"offence","7","5.35","NN"
"offend","6","5.22","VB"
"offended","8","7.53","VB|JJ"
"offense","7","16.47","NN"
"offensive","9","6.41","JJ|NN"
"offered","7","26.14","VB"
"offering","8","15.24","NN|VB"
"offers","6","7.51","VB|NN"
"officer","7","103.24","NN"
"officers","8","28.27","NN"
"offices","7","6.59","NN"
"official","8","24.00","JJ|NN"
"officially","10","15.20","RB"
"officials","9","6.98","NN"
"Ohio","4","8.71","NN"
"oldest","6","9.37","JJ"
"Olivia","6","5.24","NN"
"onions","6","5.67","NN"
"opened","6","33.84","VB"
"opening","7","38.43","NN|VB"
"opera","5","17.12","NN"
"operating","9","11.41","VB|NN"
"operation","9","43.94","NN"
"operations","10","11.76","NN"
"operator","8","16.39","NN"
"opinion","7","42.00","NN"
"opinions","8","5.02","NN"
"opposed","7","6.90","VB|JJ"
"opposite","8","15.20","JJ|NN|minor"
"option","6","14.43","NN|VB"
"options","7","14.02","NN"
"orbit","5","5.65","NN|VB"
"orchestra","9","5.51","NN"
"ordered","7","36.96","VB"
"ordering","8","7.24","VB|NN"
"ordinary","8","19.08","JJ"
"organized","9","10.18","VB|JJ"
"organs","6","5.90","NN"
"original","8","28.24","JJ|NN"
"originally","10","6.96","RB"
"nonsense","8","28.47","NN"
"normally","8","16.04","RB"
"northern","8","7.10","JJ|NN"
"noticed","7","41.78","VB"
"notify","6","7.20","VB"
"November","8","8.76","NN"
"nowadays","8","7.04","RB"
"nowhere","7","39.12","RB"
"nuclear","7","18.98","JJ|NN"
"numbers","7","39.61","NN|VB"
"object","6","25.76","NN"
"objection","9","21.73","NN"
"objective","9","7.04","NN|JJ"
"objects","7","8.71","NN"
"obligation","10","6.75","NN"
"obliged","7","5.78","VB|JJ"
"observe","7","9.78","VB|NN"
"obsessed","8","10.31","VB|JJ"
"obsession","9","5.67","NN"
"obvious","7","29.57","JJ"
"obviously","9","60.43","RB"
"occasion","8","16.55","NN|VB"
"occupied","8","5.75","VB|JJ"
"occur","5","7.43","VB"
"necessary","9","45.98","JJ|NN"
"necklace","8","9.75","NN"
"needle","6","11.92","NN|VB"
"needles","7","5.16","NN|VB"
"negative","8","25.65","JJ|NN"
"negotiate","9","6.71","VB"
"negro","5","5.37","NN"
"neighbor","8","16.94","NN"
"neighbors","9","17.02","NN"
"neither","7","67.67","minor|NN"
"Nelson","6","11.04","NN"
"nephew","6","16.59","NN"
"nervous","7","67.16","JJ|NN"
"network","7","16.53","NN|VB"
"Nevada","6","6.90","NN"
"Newport","7","5.88","NN"
"newspaper","9","23.69","NN"
"newspapers","10","11.47","NN"
"nicest","6","5.71","JJ"
"Nicholas","8","6.80","NN"
"nickname","8","6.78","NN|VB"
"nightmare","9","22.39","NN"
"nightmares","10","7.27","NN"
"ninth","5","6.55","JJ|NN"
"muffin","6","5.82","NN"
"multiple","8","10.59","JJ|NN"
"murdered","8","38.57","VB"
"murderer","8","26.57","NN"
"murderers","9","5.90","NN"
"murders","7","14.65","NN|VB"
"Murray","6","11.00","NN"
"muscle","6","13.61","NN|VB"
"muscles","7","7.55","NN|VB"
"museum","6","18.47","NN"
"music","5","151.65","NN"
"musical","7","13.16","JJ|NN"
"musician","8","6.04","NN"
"mustard","7","6.45","NN"
"mutual","6","7.22","JJ"
"mysterious","10","15.00","JJ"
"mystery","7","22.96","NN"
"Napoleon","8","6.22","NN"
"narcotics","9","5.14","NN"
"narrator","8","10.37","NN"
"national","8","38.16","JJ|NN"
"native","6","8.25","JJ|NN"
"natural","7","42.35","JJ|NN"
"naturally","9","24.51","RB"
"naughty","7","10.25","JJ"
"Nazis","5","5.45","NN"
"nearby","6","8.33","JJ|RB"
"nearest","7","7.49","JJ"
"moments","7","21.59","NN"
"Monday","6","33.29","NN"
"Monica","6","20.63","NN"
"monitor","7","13.12","NN|VB"
"monkeys","7","7.94","NN|VB"
"Monroe","6","6.75","NN"
"Monsieur","8","31.08","NN"
"monsters","8","10.78","NN"
"Montana","7","5.94","NN"
"Montgomery","10","6.04","NN"
"months","6","163.02","NN"
"moonlight","9","6.94","NN"
"Morgan","6","24.00","NN"
"morgue","6","8.63","NN"
"morphine","8","6.49","NN"
"Morris","6","14.82","NN"
"mortgage","8","5.90","NN|VB"
"Moscow","6","9.43","NN"
"mostly","6","26.08","RB|JJ"
"motive","6","13.24","NN"
"motorcycle","10","8.92","NN"
"mountain","8","35.39","NN"
"mountains","9","18.65","NN"
"movement","8","14.84","NN"
"military","8","41.24","JJ|NN"
"million","7","120.49","minor|NN"
"millions","8","22.49","NN"
"minimum","7","8.14","NN|JJ"
"minister","8","18.45","NN|VB"
"miracle","7","26.65","NN"
"miracles","8","6.55","NN"
"Miriam","6","6.69","NN"
"mirror","6","24.18","NN|VB"
"miserable","9","21.49","JJ"
"missile","7","13.14","NN"
"missiles","8","8.06","NN"
"mistake","7","101.96","NN|VB"
"mistaken","8","12.82","VB|JJ"
"mistakes","8","21.88","NN|VB"
"mistress","8","11.88","NN"
"mobile","6","7.47","JJ|NN"
"modern","6","18.24","JJ|NN"
"medication","10","12.78","NN"
"medicine","8","34.20","NN"
"medium","6","7.10","NN"
"meetings","8","10.39","NN"
"Melissa","7","8.82","NN"
"melody","6","6.61","NN"
"members","7","24.00","NN"
"memorial","8","7.06","NN"
"memories","8","22.20","NN"
"memory","6","48.57","NN"
"mentally","8","5.69","RB"
"mention","7","59.47","VB|NN"
"mentioned","9","30.51","VB"
"merely","6","15.59","RB"
"message","7","91.51","NN"
"messages","8","18.59","NN"
"messenger","9","8.06","NN"
"method","6","7.88","NN"
"methods","7","6.47","NN"
"Mexican","7","12.24","JJ|NN"
"Mexico","6","30.98","NN"
"Miami","5","15.92","NN"
"Michael","7","198.33","NN"
"Michigan","8","5.84","NN"
"Mickey","6","18.75","NN"
"midnight","8","28.37","NN"
"marching","8","6.55","VB|NN"
"Margaret","8","32.02","NN"
"marijuana","9","5.31","NN"
"Marilyn","7","8.84","NN"
"marriage","8","77.06","NN"
"marrying","8","15.92","VB"
"marshal","7","17.65","NN|VB"
"marshall","8","25.90","NN"
"martial","7","5.80","JJ|NN"
"martini","7","7.94","NN"
"marvelous","9","13.16","JJ"
"massage","7","11.08","NN"
"massive","7","9.96","JJ|NN"
"material","8","22.14","NN|JJ"
"Matthew","7","15.49","NN"
"mattress","8","6.61","NN"
"maximum","7","7.76","NN"
"Maxwell","7","5.04","NN"
"mayday","6","5.88","NN|minor"
"meantime","8","15.08","NN|RB"
"meanwhile","9","15.92","RB"
"measure","7","10.53","NN|VB"
"measures","8","5.25","NN|VB"
"mechanic","8","5.06","NN|JJ"
"luxury","6","6.02","NN"
"lyrics","6","5.08","NN"
"machine","7","70.25","NN|VB"
"machines","8","13.86","NN|VB"
"Madame","6","31.20","NN"
"Madison","7","9.14","NN"
"madness","7","8.45","NN"
"Madonna","7","5.55","NN"
"magazine","8","33.20","NN"
"magazines","9","10.25","NN"
"Maggie","6","26.90","NN"
"magical","7","9.10","JJ"
"magician","8","7.65","NN"
"magnum","6","12.02","NN"
"mainly","6","5.02","RB"
"maintain","8","12.96","VB"
"majesty","7","36.53","NN"
"majority","8","5.12","NN"
"makeup","6","15.49","NN"
"management","10","11.65","NN"
"manager","7","39.96","NN"
"Manhattan","9","12.31","NN"
"maniac","6","9.39","NN"
"mankind","7","8.76","NN"
"mansion","7","6.45","NN"
"literature","10","6.39","NN"
"locate","6","10.27","VB"
"located","7","9.18","VB|JJ"
"logic","5","6.71","NN"
"logical","7","7.39","JJ"
"London","6","46.02","NN"
"loneliness","10","5.00","NN"
"lonesome","8","7.00","JJ|NN"
"lottery","7","6.75","NN"
"loyalty","7","11.67","NN"
"Lucille","7","5.67","NN"
"luckily","7","6.39","RB"
"luggage","7","11.12","NN"
"lunatic","7","8.49","JJ"
"legitimate","10","7.53","JJ"
"lemonade","8","5.51","NN"
"length","6","7.02","NN"
"Leonard","7","12.43","NN"
"leopard","7","5.41","NN"
"lesbian","7","9.51","NN|JJ"
"lesson","6","32.24","NN"
"lessons","7","15.14","NN"
"lethal","6","5.67","JJ"
"liberty","7","16.65","NN"
"library","7","22.94","NN"
"license","7","32.06","NN|VB"
"lieutenant","10","104.04","NN"
"lifetime","8","18.22","NN"
"lighting","8","6.33","NN|VB"
"lightning","9","14.14","NN"
"likely","6","25.76","JJ|RB"
"limited","7","11.00","JJ|VB"
"limits","6","7.20","NN|VB"
"Lincoln","7","18.73","NN"
"lipstick","8","8.80","NN"
"liquid","6","7.75","JJ|NN"
"liquor","6","17.29","NN"
"listened","8","14.65","VB"
"listening","9","62.84","VB|NN"
"literally","9","14.49","RB"
"ladies","6","138.31","NN"
"landlord","8","5.33","NN"
"language","8","35.10","NN"
"largest","7","7.88","JJ|RB"
"lately","6","48.22","RB"
"laughed","7","10.69","VB"
"laughing","8","52.29","VB|NN"
"laughs","6","24.27","VB|NN"
"laughter","8","13.80","NN"
"laundry","7","19.06","NN"
"Lawrence","8","13.65","NN"
"lawsuit","7","6.10","NN"
"lawyers","7","19.12","NN"
"league","6","18.63","NN"
"lecture","7","10.47","NN|VB"
"legacy","6","5.02","NN"
"legally","7","7.61","RB"
"legend","6","17.16","NN"
"Juan","4","7.47","NN"
"judging","7","8.16","VB|NN"
"judgment","8","16.45","NN"
"Julian","6","7.41","NN"
"Juliet","6","5.98","NN"
"Julius","6","8.12","NN"
"jumping","7","14.27","VB|NN"
"junior","6","35.78","JJ|NN"
"junkie","6","5.20","NN"
"justice","7","37.45","NN"
"justify","7","5.02","VB"
"juvenile","8","5.12","JJ"
"Kansas","6","12.04","NN"
"karate","6","7.57","NN"
"Karen","5","27.39","NN"
"Katherine","9","7.04","NN"
"Kennedy","7","11.73","NN"
"Kentucky","8","5.22","NN"
"ketchup","7","6.08","NN"
"kidnap","6","6.49","VB"
"kidnapped","9","16.39","VB"
"kidnapping","10","12.10","NN|VB"
"kidney","6","9.69","NN"
"killers","7","11.31","NN"
"kindly","6","10.55","RB|JJ"
"kindness","8","9.02","NN"
"kingdom","7","15.43","NN"
"kitchen","7","58.31","NN"
"knife","5","46.80","NN|VB"
"knights","7","7.53","NN|VB"
"knives","6","6.92","NN"
"knocked","7","24.73","VB"
"knocking","8","14.88","VB|NN"
"knowledge","9","25.53","NN"
"Korean","6","9.92","JJ|NN"
"laboratory","10","6.49","NN"
"irrelevant","10","5.14","JJ"
"isolated","8","6.08","VB|JJ"
"issue","5","34.14","NN|VB"
"issued","6","5.55","VB"
"issues","6","18.71","NN|VB"
"itself","6","39.78","minor|NN"
"jackass","7","6.80","NN"
"Jackie","6","25.02","NN"
"Jackson","7","32.67","NN"
"Jacob","5","11.67","NN"
"janitor","7","5.73","NN"
"January","7","6.69","NN"
"Japan","5","15.51","NN"
"Japanese","8","25.73","NN|JJ"
"jasmine","7","5.45","NN"
"jealous","7","38.27","JJ"
"jealousy","8","5.75","NN"
"Jeff","4","30.18","NN"
"Jefferson","9","10.76","NN"
"jersey","6","18.10","NN"
"Jesus","5","161.18","NN|minor"
"jewelry","7","11.06","NN"
"Jewish","6","13.76","JJ|NN"
"Jimmy","5","80.22","NN"
"Johnny","6","86.43","NN"
"Johnson","7","30.31","NN"
"joining","7","12.04","VB"
"Jonathan","8","13.94","NN"
"Jordan","6","19.94","NN"
"Joseph","6","19.98","NN"
"Joshua","6","5.45","NN"
"journal","7","8.88","NN"
"journey","7","19.94","NN|VB"
"journalist","10","6.10","NN"
"Joyce","5","7.27","NN"
"interest","8","50.94","NN|VB"
"interested","10","85.76","JJ|VB"
"interests","9","13.27","NN|VB"
"interfere","9","9.53","VB"
"interior","8","5.24","JJ|NN"
"internal","8","9.84","JJ"
"interrupt","9","18.73","VB"
"intimate","8","6.96","JJ|NN"
"interview","9","29.51","NN|VB"
"interviews","10","5.25","NN|VB"
"introduce","9","34.73","VB"
"introduced","10","11.63","VB"
"invasion","8","8.51","NN"
"invented","8","15.75","VB"
"invention","9","6.08","NN"
"investment","10","9.75","NN"
"involves","8","5.00","VB"
"invisible","9","12.35","JJ"
"invitation","10","14.88","NN"
"invite","6","29.59","VB"
"invited","7","40.47","VB|JJ"
"inviting","8","7.20","VB|JJ"
"involve","7","6.47","VB"
"involved","8","67.94","VB|JJ"
"ironic","6","6.12","JJ"
"initial","7","6.37","JJ|VB|NN"
"injured","7","10.47","VB"
"injuries","8","7.41","NN"
"injury","6","10.20","NN"
"innocence","9","6.59","NN"
"innocent","8","54.51","JJ|NN"
"insane","6","38.69","JJ|NN"
"insanity","8","7.67","NN"
"insisted","8","8.18","VB"
"inspection","10","5.88","NN"
"inspector","9","22.04","NN"
"inspired","8","7.65","VB"
"instincts","9","8.39","NN"
"instance","8","16.78","NN"
"instant","7","10.78","NN|JJ"
"instead","7","79.27","RB|NN"
"instinct","8","7.65","NN"
"instrument","10","8.10","NN"
"insult","6","12.53","NN"
"insulted","8","6.00","VB"
"insulting","9","5.37","JJ|VB"
"insurance","9","38.33","NN"
"intact","6","6.35","JJ"
"integrity","9","7.20","NN"
"intended","8","11.78","VB"
"intense","7","10.20","JJ"
"intention","9","10.96","NN"
"intentions","10","7.18","NN"
"incredibly","10","13.10","RB"
"incredible","10","37.80","JJ"
"indeed","6","40.49","RB"
"indicate","8","8.33","VB"
"indicates","9","5.43","VB"
"individual","10","11.69","JJ|NN"
"industry","8","11.69","NN"
"inevitable","10","5.65","JJ"
"influence","9","14.78","NN|VB"
"inform","6","12.63","VB"
"informed","8","12.41","VB"
"impact","6","9.41","NN"
"importance","10","7.65","NN"
"impossible","10","59.12","JJ"
"impress","7","10.20","VB"
"impressed","9","19.06","VB|JJ"
"impression","10","18.55","NN"
"impressive","10","16.96","JJ"
"improve","7","8.10","VB|NN"
"impulse","7","5.27","NN"
"incident","8","17.31","NN"
"include","7","11.14","VB"
"included","8","7.49","VB"
"includes","8","5.27","VB|NN"
"including","9","27.55","VB|NN"
"income","6","7.41","NN"
"incoming","8","6.18","JJ|VB|NN"
"increase","8","8.55","NN"
"hundred","7","78.73","minor|NN"
"hundreds","8","21.73","NN"
"hungry","6","77.08","JJ"
"hurricane","9","8.76","NN"
"husband","7","194.80","NN|VB"
"husbands","8","7.76","NN|VB"
"hysterical","10","7.10","JJ"
"identical","9","5.53","JJ|NN"
"identified","10","10.27","VB"
"identify","8","16.18","VB"
"identity","8","12.98","NN"
"idiot","5","66.22","JJ|NN"
"ignorant","8","6.25","JJ"
"ignore","6","18.65","VB"
"ignored","7","5.90","VB|JJ"
"illegal","7","23.51","JJ|NN"
"illness","7","7.27","NN"
"illusion","8","8.25","NN"
"images","6","7.86","NN|VB"
"imagine","7","81.04","VB"
"imagined","8","9.90","VB|JJ"
"immediate","9","11.20","JJ"
"immortal","8","5.10","JJ"
"holiday","7","21.29","NN|VB"
"holidays","8","9.14","NN|VB"
"Holland","7","6.69","NN"
"Hollywood","9","27.98","NN"
"homecoming","10","5.59","VB|NN"
"homeless","8","10.65","JJ|NN"
"homework","8","20.14","NN"
"homicide","8","15.33","NN"
"honestly","8","27.25","RB"
"honesty","7","7.22","NN"
"honeymoon","9","16.20","NN|VB"
"honorable","9","7.24","JJ|NN"
"honored","7","10.86","VB|JJ"
"hooray","6","5.75","NN"
"hopefully","9","11.71","RB"
"hopeless","8","8.94","JJ"
"Horace","6","6.75","NN"
"horrible","8","42.43","JJ"
"horror","6","9.18","NN"
"hospital","8","124.20","NN"
"hospitals","9","6.18","NN"
"hostage","7","14.57","NN"
"hostages","8","9.69","NN"
"hostile","7","8.94","JJ|NN"
"hottest","7","6.18","JJ"
"household","9","6.94","NN|JJ"
"Houston","7","10.51","NN"
"however","7","45.08","RB|minor"
"Hudson","6","9.43","NN"
"humanity","8","9.71","NN"
"humans","6","16.29","NN"
"humiliated","10","6.65","VB|JJ"
"humor","5","16.65","NN|VB"
"helicopter","10","15.80","NN"
"helmet","6","9.47","NN"
"helpful","7","12.14","JJ"
"helpless","8","11.14","JJ"
"Henry","5","76.55","NN"
"Hercules","8","25.20","NN"
"hereby","6","6.37","RB"
"herself","7","52.45","minor"
"hesitate","8","5.47","VB"
"hidden","6","21.27","VB|JJ"
"hideous","7","5.37","JJ"
"highest","7","12.67","JJ|RB"
"highly","6","21.20","RB|NN"
"highness","8","15.82","NN"
"highway","7","17.86","NN"
"hilarious","9","5.78","JJ"
"himself","7","140.55","minor"
"historical","10","5.27","JJ|NN"
"history","7","83.92","NN"
"handcuffs","9","5.16","NN"
"handful","7","5.71","NN"
"handling","8","11.35","NN|VB"
"handsome","8","33.02","JJ"
"happening","9","90.55","VB|NN|JJ"
"happens","7","137.18","VB"
"happier","7","12.49","JJ"
"happiest","8","6.43","JJ"
"happily","7","10.22","RB"
"happiness","9","24.49","NN"
"harbor","6","11.02","NN|VB"
"hardest","7","6.71","JJ"
"hardware","8","6.82","NN"
"harmless","8","8.65","JJ|NN"
"Harriet","7","7.22","NN"
"harmony","7","8.22","NN"
"Harvard","7","14.10","NN"
"Hawaii","6","11.96","NN"
"headache","8","14.10","NN"
"headaches","9","5.31","NN"
"healthy","7","24.75","JJ"
"heartbeat","9","5.57","NN"
"heavenly","8","5.53","JJ"
"heavens","7","13.27","NN|minor"
"heavily","7","6.12","RB"
"groceries","9","5.90","NN"
"grocery","7","5.49","NN"
"grounded","8","7.78","VB"
"grounds","7","10.45","NN|VB"
"growth","6","6.45","NN"
"guarantee","9","22.02","NN|VB"
"guaranteed","10","6.65","VB|JJ"
"guardian","8","7.02","NN"
"guards","6","24.25","NN|VB"
"guessed","7","7.43","VB"
"guessing","8","10.71","VB|NN"
"guidance","8","7.37","NN"
"guilty","6","62.29","JJ|NN"
"guitar","6","15.59","NN"
"gunfire","7","5.22","NN"
"gunshot","7","10.20","NN"
"gypsy","5","6.63","NN"
"habits","6","6.12","NN"
"haircut","7","8.41","NN"
"halfway","7","13.29","RB|JJ"
"hallelujah","10","9.33","minor"
"Halloween","9","13.04","NN"
"hallway","7","9.55","NN"
"hamburger","9","7.78","NN"
"Hamilton","8","7.35","NN"
"goodbye","7","116.51","minor"
"goodness","8","32.45","NN"
"goodnight","9","16.12","NN|minor"
"gorgeous","8","24.06","JJ"
"gorilla","7","5.55","NN"
"gossip","6","7.78","NN|VB"
"government","10","65.24","NN"
"governor","8","26.84","NN"
"gracious","8","7.16","JJ"
"graduate","8","12.22","NN|JJ"
"graduated","9","7.75","VB"
"graduation","10","9.80","NN"
"Graham","6","11.39","NN"
"grandma","7","45.59","NN"
"grandpa","7","32.57","NN"
"grandson","8","7.98","NN"
"grateful","8","26.57","JJ"
"gratitude","9","7.75","NN"
"graveyard","9","5.33","NN"
"gravity","7","6.88","NN"
"greatest","8","48.31","JJ|NN"
"greetings","9","6.76","NN"
"Gregory","7","5.41","NN"
"griffin","7","13.86","NN"
"general","7","115.39","JJ|NN"
"generally","9","8.31","RB"
"generation","10","12.14","NN"
"generator","9","5.69","NN"
"generous","8","16.71","JJ"
"genetic","7","7.55","JJ"
"genius","6","34.76","NN"
"gentleman","9","41.86","NN"
"gentlemen","9","154.39","NN"
"gently","6","9.00","RB"
"genuine","7","8.20","JJ"
"George","6","146.55","NN"
"Georgia","7","18.00","NN"
"Germans","7","12.47","NN"
"Germany","7","13.71","NN"
"gesture","7","7.43","NN"
"ghetto","6","5.53","NN"
"Gilbert","7","5.78","NN"
"gimme","5","19.25","encl"
"girlfriend","10","76.10","NN"
"gladly","6","5.04","RB"
"global","6","6.29","JJ"
"Gloria","6","12.88","NN"
"glorious","8","9.29","JJ"
"goddess","7","8.76","NN"
"godfather","9","5.45","NN"
"frozen","6","15.33","VB|JJ"
"frustrated","10","5.00","VB|JJ"
"fugitive","8","5.18","JJ|NN"
"function","8","11.08","NN|VB"
"funeral","7","33.20","NN"
"furious","7","6.00","JJ"
"furniture","9","15.08","NN"
"further","7","52.75","JJ|RB|VB"
"future","6","103.49","NN|JJ"
"fuzzy","5","5.82","JJ"
"Gabriel","7","5.71","NN"
"galaxy","6","6.65","NN"
"gallery","7","8.51","NN"
"gambling","8","16.59","NN|VB"
"gangster","8","5.33","NN"
"garbage","7","26.10","NN"
"garlic","6","6.00","NN|JJ"
"gasoline","8","6.53","NN"
"gathering","9","7.25","NN|VB"
"forgive","7","76.80","VB"
"forgiven","8","6.49","VB"
"forgot","6","98.92","VB"
"forgotten","9","34.73","VB|JJ"
"formula","7","7.86","NN"
"fortunate","9","8.22","JJ"
"fortune","7","29.76","NN"
"forward","7","72.33","RB|JJ|VB|NN"
"foundation","10","14.51","NN"
"fountain","8","6.90","NN"
"fourteen","8","6.53","minor|NN"
"fourth","6","26.45","JJ|NN"
"fracture","8","5.18","NN"
"fragile","7","5.14","JJ"
"Francis","7","17.18","NN"
"Francisco","9","25.27","NN"
"Franklin","8","10.80","NN"
"frankly","7","19.45","RB"
"freedom","7","33.10","NN"
"freeway","7","5.53","NN"
"freezer","7","5.16","NN"
"freezing","8","13.33","VB|NN"
"frequency","9","6.61","NN"
"freshman","8","7.35","NN"
"Friday","6","47.63","NN"
"friendly","8","26.04","JJ"
"friendship","10","22.82","NN"
"frighten","8","6.35","VB"
"frightened","10","23.25","VB|JJ"
"Florence","8","5.37","NN"
"Florida","7","18.39","NN"
"focused","7","7.90","VB"
"followed","8","34.10","VB"
"following","9","45.29","VB|NN"
"follows","7","7.27","VB|NN"
"foolish","7","17.51","JJ"
"footage","7","8.27","NN"
"football","8","37.53","NN"
"footsteps","9","6.31","NN"
"forbid","6","8.55","VB"
"forbidden","9","7.59","VB|JJ"
"forehead","8","7.84","NN"
"foreign","7","22.29","JJ"
"foreman","7","5.55","NN"
"forever","7","88.80","RB|NN"
"forgetting","10","12.29","VB"
"fiction","7","6.08","NN"
"fifteen","7","17.55","minor|NN"
"fighters","8","7.10","NN"
"fighting","8","70.80","VB|NN|JJ"
"figure","6","129.37","NN|VB"
"figured","7","76.33","VB"
"figures","7","18.61","NN|VB"
"figuring","8","6.24","VB"
"filthy","6","16.43","JJ"
"finally","7","117.43","RB"
"finance","7","5.35","NN|VB"
"financial","9","15.24","JJ"
"finished","8","83.71","VB"
"finishing","9","7.90","VB|NN"
"fireplace","9","5.08","NN"
"fireworks","9","5.63","NN|VB"
"flashlight","10","5.92","NN"
"flavor","6","5.00","NN|VB"
"failure","7","20.02","NN"
"faithful","8","9.12","JJ|NN"
"FALSE","5","21.14","JJ"
"familiar","8","34.51","JJ|NN"
"families","8","22.33","NN"
"famous","6","45.02","JJ"
"fantasies","9","5.00","NN"
"fantastic","9","39.78","JJ"
"fantasy","7","16.24","NN"
"farewell","8","9.45","NN"
"fashion","7","18.76","NN|VB"
"fastest","7","5.84","JJ|NN"
"favorite","8","59.45","JJ|NN"
"favors","6","7.45","VB|NN"
"feature","7","5.84","NN|VB"
"February","8","5.49","NN"
"federal","7","23.00","JJ|NN"
"feelings","8","57.61","NN"
"felicity","8","16.80","NN"
"Felix","5","8.29","NN"
"felony","6","5.59","NN"
"female","6","31.61","JJ|NN"
"festival","8","9.90","NN"
"exhibit","7","7.61","NN|VB"
"existed","7","7.96","VB"
"existence","9","11.69","NN"
"exists","6","11.27","VB"
"exotic","6","6.00","JJ"
"expect","6","103.90","VB"
"expected","8","33.25","VB"
"expecting","9","36.20","VB"
"expedition","10","5.67","NN"
"expense","7","7.45","NN"
"expenses","8","7.71","NN"
"expensive","9","27.94","JJ"
"experience","10","60.55","NN|VB"
"experiment","10","16.20","NN"
"experts","7","6.78","NN"
"explain","7","111.18","VB"
"explained","9","11.73","VB"
"explaining","10","6.90","VB"
"explains","8","9.04","VB"
"explode","7","9.78","VB|NN"
"explore","7","6.22","VB|NN"
"explosion","9","16.49","NN"
"explosive","9","5.31","JJ|NN"
"explosives","10","6.49","NN"
"expose","6","7.06","VB"
"exposed","7","10.55","VB"
"exposure","8","5.71","NN"
"express","7","17.92","VB|NN"
"expression","10","12.76","NN"
"extend","6","6.41","VB"
"extension","9","5.39","NN"
"extra","5","59.16","JJ|NN"
"extreme","7","10.94","JJ|NN"
"extremely","9","23.73","RB"
"fabulous","8","20.51","JJ"
"facial","6","5.75","JJ"
"facility","8","14.18","NN"
"factory","7","16.80","NN"
"error","5","9.27","NN|JJ"
"escape","6","44.27","VB|NN"
"escaped","7","19.43","VB"
"escort","6","14.69","NN"
"especially","10","67.22","RB"
"essay","5","6.14","NN|VB"
"essence","7","5.63","NN"
"establish","9","6.33","VB"
"eternal","7","10.73","JJ"
"eternity","8","7.98","NN"
"ethics","6","5.35","NN"
"Eugene","6","6.92","NN"
"Europe","6","26.82","NN"
"European","8","7.06","JJ|NN"
"evacuate","8","5.61","VB"
"evening","7","120.69","NN"
"events","6","16.86","NN"
"eventually","10","24.43","RB"
"everyday","8","10.88","JJ|NN"
"everywhere","10","51.78","RB|NN"
"evidence","8","85.00","NN"
"evidently","9","5.84","RB"
"evolution","9","5.33","NN"
"exam","4","13.41","NN"
"examine","7","9.88","VB|NN"
"examined","8","5.39","VB"
"example","7","29.94","NN"
"excellency","10","9.98","NN"
"excellent","9","52.71","JJ|NN"
"except","6","111.69","minor|VB"
"exception","9","8.02","NN"
"exchange","8","20.22","NN|VB"
"excited","7","48.61","VB|JJ"
"excitement","10","12.31","NN"
"exciting","8","34.82","JJ|VB"
"exclusive","9","7.80","JJ|NN"
"excuses","7","8.65","NN"
"execute","7","5.55","VB|NN"
"executed","8","7.47","VB"
"execution","9","9.75","NN"
"executive","9","10.61","JJ|NN"
"exercise","8","17.73","NN|VB"
"exhausted","9","12.84","VB|JJ"
"enemies","7","19.31","NN"
"enemy","5","48.51","NN"
